color;director_name;num_critic_for_reviews;duration;director_facebook_likes;actor_3_facebook_likes;actor_2_name;actor_1_facebook_likes;gross;genres;actor_1_name;movie_title;num_voted_users;cast_total_facebook_likes;actor_3_name;facenumber_in_poster;plot_keywords;movie_imdb_link;num_user_for_reviews;language;country;content_rating;budget;title_year;actor_2_facebook_likes;imdb_score_orig;aspect_ratio;movie_facebook_likes;Title;Year;content_rating_omdb;Released;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;Awards;Poster;Ratings;Metascore;imdbRating;imdbVotes;imdbID;Type;DVD;BoxOffice;Production;Website;Response;totalSeasons;Season;Episode;seriesID;Source_Currency
Color;Kevin Lima;84.0;100.0;36.0;439.0;Eric Idle;439.0;66941559.0;Adventure|Comedy|Family;Ioan Gruffudd;102 Dalmatians ;26413.0;4182.0;Jim Carter;1.0;dog|parole|parole officer|prison|puppy;http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1;77.0;English;USA;G;85000000.0;2000;795.0;4.8;1.85;372.0;102 Dalmatians;2000;G;22/11/2000;100 min;Adventure, Comedy, Family;Kevin Lima;Dodie Smith, Kristen Buckley, Brian Regan;Glenn Close, Gérard Depardieu, Ioan Gruffudd;cruella devil gets out of prison and goes after the puppies once more.;English;United States, United Kingdom, Monaco;Nominated for 1 Oscar. 1 win & 8 nominations total;https://m.media-amazon.com/images/M/MV5BYWUzNmIyMDctZDhjYi00ZDdhLTk4ZTAtMWI2MTcxZTNkMTc4XkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '35/100'}];35.0;4.9;40862;tt0211181;movie;;66957026.0;;;True;;;;;
Color;Jill Sprecher;79.0;104.0;11.0;194.0;Rob McElhenney;194.0;3287435.0;Drama;Matthew McConaughey;13 Conversations About One Thing;8603.0;12250.0;Amy Irving;2.0;attorney|happiness|house cleaner|physics|professor;http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1;115.0;English;USA;R;4500000.0;2001;813.0;7.0;1.85;220.0;Thirteen Conversations About One Thing;2006;R;05/07/2002;104 min;Inconnu;;Karen Sprecher, Jill Sprecher;Alan Arkin, John Turturro, Matthew McConaughey;In New York City, the lives of a lawyer, an actuary, a house-cleaner, a professor and the people around them intersect as they ponder order and happiness in the face of life's cold unpredictability.;English, German, Italian;United States;8 wins & 8 nominations total;https://m.media-amazon.com/images/M/MV5BOWNjMjM3OTctNDgxYS00OWMzLTkwNDctYjMyMTFhN2JlZWJhXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '74/100'}];74.0;6.6;11693;tt0268690;movie;;$3,288,164;;;;;;;;USD
Color;Michael Bay;204.0;144.0;0.0;681.0;James Badge Dale;681.0;52822418.0;Action|Drama|Thriller|War;Toby Stephens;13 Hours ;47764.0;3580.0;David Costabile;0.0;based on true story|cia agent|libya|mercenary|u.s. ambassador;http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1;219.0;English;USA;R;50000000.0;2016;726.0;7.4;2.35;44000.0;13 Hours;2014;R;05/03/2014;;Short, Horror;Yasmine McNally;Justine King;David Dyer, Laura Moore, Chris McCormac;jack and his sister jill are on the run after a zombie apocalypse and they are trying desperately to get through to a united nations camp. the problem is that jack has already been injured.;English;Ireland;No Awards;https://m.media-amazon.com/images/M/MV5BNjJhNTU1NzUtYmY2NS00NWQ3LWFiODktYjcwZTVmNjYxOTlhXkEyXkFqcGdeQXVyNDc2MDg4NzY@._V1_SX300.jpg;[];63.57622652458084;7.4;47764;tt4611210;movie;;52822418.0;;;True;;;;;
Color;John Herzfeld;151.0;120.0;17.0;808.0;Charlize Theron;808.0;24375436.0;Action|Crime|Drama|Thriller;Robert De Niro;15 Minutes ;42547.0;33585.0;Kelsey Grammer;1.0;criminal|detective|fire|homicide|media;http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1;265.0;English;USA;R;42000000.0;2001;9000.0;6.1;2.35;748.0;15 Minutes;2001;R;09/03/2001;120 min;Action, Crime, Drama;John Herzfeld;John Herzfeld;Robert De Niro, Edward Burns, Kelsey Grammer;a homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.;English, Czech, Russian, Greek, Afrikaans;United States, Germany;1 nomination total;https://m.media-amazon.com/images/M/MV5BOTg5MDc1N2YtYWYxOS00ZGU4LTgyOWUtNjM5ZDkzZjg0YjdlXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '34/100'}];34.0;6.1;53088;tt0179626;movie;;24403552.0;;;True;;;;;
Color;Richard Donner;199.0;102.0;503.0;795.0;David Zayas;795.0;36883539.0;Action|Crime|Drama|Thriller;Bruce Willis;16 Blocks ;112769.0;15053.0;Sasha Roiz;2.0;alcoholic|courthouse|detective|jail|witness;http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1;305.0;English;Germany;PG-13;52000000.0;2006;929.0;6.6;2.35;0.0;16 Blocks;2006;PG-13;03/03/2006;102 min;Action, Drama, Thriller;Richard Donner;Richard Wenk;Bruce Willis, Yasiin Bey, David Morse;an aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. there are, however, chaotic forces at work that prevent them from making it in one piece.;English, Spanish;United States, Germany, United Kingdom, Canada;2 nominations total;https://m.media-amazon.com/images/M/MV5BMTQ1NDEwMzEwMl5BMl5BanBnXkFtZTcwNzM4MTEzMw@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '63/100'}];63.0;6.6;137629;tt0450232;movie;;36895141.0;;;True;;;;;
Color;Burr Steers;191.0;102.0;23.0;651.0;Hunter Parrish;651.0;64149837.0;Comedy|Drama|Family|Fantasy|Romance;Matthew Perry;17 Again ;146899.0;7009.0;Thomas Lennon;1.0;adult as child|father son relationship|high school student|janitor|school;http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1;185.0;English;USA;PG-13;20000000.0;2009;2000.0;6.4;2.35;0.0;17 Again;2009;PG-13;17/04/2009;102 min;Comedy, Drama, Fantasy;Burr Steers;Jason Filardi;Zac Efron, Leslie Mann, Thomas Lennon;mike o'donnell is ungrateful for how his life turned out. he gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.;English;United States;3 wins & 5 nominations total;https://m.media-amazon.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '48/100'}];48.0;6.4;229054;tt0974661;movie;;64167069.0;;;True;;;;;
Color;John Singleton;150.0;107.0;309.0;771.0;Cole Hauser;771.0;127083765.0;Action|Crime|Thriller;Paul Walker;2 Fast 2 Furious ;191912.0;25296.0;Mo Gallini;5.0;bust|racing|shotgun|street racing|undercover agent;http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1;370.0;English;USA;PG-13;76000000.0;2003;787.0;5.9;2.35;0.0;2 Fast 2 Furious;2003;PG-13;06/06/2003;107 min;Action, Crime, Thriller;John Singleton;Gary Scott Thompson, Michael Brandt, Derek Haas;Paul Walker, Tyrese Gibson, Cole Hauser;former cop brian o'conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.;English, Spanish;United States;4 wins & 13 nominations total;https://m.media-amazon.com/images/M/MV5BOTQzYzEwNWMtOTAwYy00YWYwLWE1NTEtZTkxOGQxZTM0M2VhXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '38/100'}];38.0;5.9;315809;tt0322259;movie;;127154901.0;;;True;;;;;
Color;Baltasar Kormákur;265.0;109.0;175.0;459.0;Patrick Fischler;459.0;75573300.0;Action|Comedy|Crime|Drama|Thriller;Denzel Washington;2 Guns ;156898.0;20148.0;Fred Ward;1.0;close up of breasts|female nudity|fugitive|money|undercover;http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1;172.0;English;USA;R;61000000.0;2013;497.0;6.7;2.35;22000.0;2 Guns;2013;R;02/08/2013;109 min;Action, Comedy, Crime;Baltasar Kormákur;Blake Masters, Steven Grant;Denzel Washington, Mark Wahlberg, Paula Patton;two hardened criminals get into trouble with the us border patrol after meeting with a mexican drug lord, and then revelations start to unfold.;English, Spanish;United States;3 wins total;https://m.media-amazon.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '55/100'}];55.0;6.7;233003;tt1272878;movie;;75612460.0;;;True;;;;;
Color;Roland Emmerich;367.0;158.0;776.0;310.0;Liam James;310.0;166112167.0;Action|Adventure|Sci-Fi;Oliver Platt;2012 ;283418.0;2144.0;Tom McCarthy;0.0;ark|catastrophe|geologist|president|writer;http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1;1055.0;English;USA;PG-13;200000000.0;2009;468.0;5.8;2.35;13000.0;2012;2009;PG-13;13/11/2009;158 min;Action, Adventure, Sci-Fi;Roland Emmerich;Roland Emmerich, Harald Kloser;John Cusack, Thandiwe Newton, Chiwetel Ejiofor;a frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.;English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian, Spanish;United States;5 wins & 21 nominations total;https://m.media-amazon.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '49/100'}];49.0;5.8;413925;tt1190080;movie;;166112167.0;;;True;;;;;
Color;Phil Lord;375.0;109.0;97.0;839.0;Dax Flame;839.0;138447667.0;Action|Comedy|Crime;Channing Tatum;21 Jump Street ;408302.0;19968.0;Rob Riggle;2.0;narcotics|parody|police|remake|undercover cop;http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1;345.0;English;USA;R;42000000.0;2012;971.0;7.2;2.35;39000.0;21 Jump Street;2012;R;16/03/2012;109 min;Action, Comedy, Crime;Phil Lord, Christopher Miller;Michael Bacall, Jonah Hill, Patrick Hasburgh;Jonah Hill, Channing Tatum, Ice Cube;a pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.;English;United States;11 wins & 21 nominations total;https://m.media-amazon.com/images/M/MV5BMTg2NjJiODctM2IyMS00MmQ5LWI1YmQtNTBjMTI4M2U2YzA5XkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '69/100'}];69.0;7.2;628896;tt1232829;movie;;138447667.0;;;True;;;;;
