Movie_ID;color;director_name;num_critic_for_reviews;duration;director_facebook_likes;actor_3_facebook_likes;actor_2_name;actor_1_facebook_likes;gross;genres;actor_1_name;movie_title;num_voted_users;cast_total_facebook_likes;actor_3_name;facenumber_in_poster;plot_keywords;movie_imdb_link;num_user_for_reviews;language;country;content_rating;budget;title_year;actor_2_facebook_likes;imdb_score;aspect_ratio;movie_facebook_likes;imdbID;Title;Year;Rated;Released;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;Awards;Poster;Ratings;Metascore;imdbRating;imdbVotes;Type;DVD;BoxOffice;Production;Website;Response;totalSeasons;Season;Episode;seriesID
2655; Black and White;Harry F. Millarde;1.0;110.0;0.0;0.0;Johnnie Walker;2.0;3000000.0;Crime|Drama;Stephen Carr;Over the Hill to the Poorhouse ;5.0;4.0;Mary Carr;1.0;family relationships|gang|idler|poorhouse|thief;http://www.imdb.com/title/tt0011549/?ref_=fn_tt_tt_1;1.0;Inconnu;USA;Inconnu;100000.0;1920.0;2.0;4.8;1.33;0.0;tt0011549;Over the Hill to the Poorhouse;1920;Passed;17 Sep 1920;110 min;Drama, Crime;Harry F. Millarde;Will Carleton, Paul Sloane;Mary Carr, William Welsh, James Sheridan;The mother of a large family is abandoned by her children and faces consignment to the poorhouse. But one of her offspring, the one no one had faith in, returns to rescue her.;English;United States;Inconnu;https://m.media-amazon.com/images/M/MV5BYjllZDRmZjUtNzQ1Ni00ZGU5LWI4ZWItMzZmNjQwNmRkODkwXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg;{'Source': 'Internet Movie Database', 'Value': '4.7/10'};54.0;4.7;26;movie;Inconnu;Inconnu;Inconnu;;True;;;;
3571; Black and White;King Vidor;48.0;151.0;54.0;6.0;Renée Adorée;81.0;47511360.0;Drama|Romance|War;John Gilbert;The Big Parade ;4849.0;108.0;Claire Adams;0.0;chewing gum|climbing a tree|france|translation problems|world war one;http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1;45.0;Inconnu;USA;Not Rated;245000.0;1925.0;12.0;8.3;1.33;226.0;tt0015624;The Big Parade;1925;Not Rated;03 Dec 1925;151 min;Drama, Romance, War;King Vidor, George W. Hill;Laurence Stallings, Harry Behn, Joseph Farnham;John Gilbert, Renée Adorée, Hobart Bosworth;A young American soldier witnesses the horrors of the Great War.;None, English, French;United States;6 wins;https://m.media-amazon.com/images/M/MV5BNjY2MTA1MjExNV5BMl5BanBnXkFtZTgwNzQ2ODAyMjE@._V1_SX300.jpg;{'Source': 'Internet Movie Database', 'Value': '7.9/10'};54.0;7.9;7,452;movie;Inconnu;Inconnu;Inconnu;;True;;;;
2668; Black and White;Georg Wilhelm Pabst;71.0;110.0;21.0;3.0;Francis Lederer;426.0;9950.0;Crime|Drama|Romance;Louise Brooks;Pandora's Box ;7431.0;455.0;Fritz Kortner;1.0;escape|femme fatale|german expressionism|lust|violence;http://www.imdb.com/title/tt0018737/?ref_=fn_tt_tt_1;84.0;German;Germany;Not Rated;37867215.0;1929.0;20.0;8.0;1.33;926.0;tt0018737;Pandora's Box;1929;Not Rated;22 Feb 1930;109 min;Crime, Drama, Romance;Georg Wilhelm Pabst;Frank Wedekind, Ladislaus Vajda, Joseph Fleisler;Louise Brooks, Fritz Kortner, Francis Lederer;The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.;None, German;Germany;1 nomination;https://m.media-amazon.com/images/M/MV5BZTQ2Yzc3MjUtNTdlNi00YzBmLTgxMjAtNzQ2NjEyODE3YTRlXkEyXkFqcGc@._V1_SX300.jpg;{'Source': 'Internet Movie Database', 'Value': '7.7/10'};54.0;7.7;12,144;movie;Inconnu;$53,485;Inconnu;;True;;;;
3622; Black and White;Harry Beaumont;36.0;100.0;4.0;4.0;Bessie Love;77.0;2808000.0;Musical|Romance;Anita Page;The Broadway Melody ;4546.0;109.0;Charles King;8.0;sibling rivalry|singer|sister act|whistling|wisecrack humor;http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1;71.0;English;USA;Passed;379000.0;1929.0;28.0;6.3;1.37;167.0;tt0019729;The Broadway Melody;1929;Passed;06 Jun 1929;100 min;Drama, Musical, Romance;Harry Beaumont;Edmund Goulding, Norman Houston, James Gleason;Bessie Love, Anita Page, Charles King;A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.;English;United States;Won 1 Oscar. 5 wins & 2 nominations total;https://m.media-amazon.com/images/M/MV5BOWFjYTA2ZWUtOGNhNC00MjQ0LWFjYmItZTU0ZTdhNDA2OWNjXkEyXkFqcGc@._V1_SX300.jpg;{'Source': 'Internet Movie Database', 'Value': '5.6/10'};66.0;5.6;8,274;movie;Inconnu;Inconnu;Inconnu;;True;;;;
3126; Black and White;Lowell Sherman;35.0;66.0;16.0;28.0;Gilbert Roland;418.0;47511360.0;Comedy|Drama|History|Musical|Romance;Mae West;She Done Him Wrong ;4152.0;583.0;Louise Beavers;1.0;captain|marriage proposal|saloon|saloon singer|singer;http://www.imdb.com/title/tt0024548/?ref_=fn_tt_tt_1;59.0;English;USA;Approved;200000.0;1933.0;85.0;6.5;1.37;328.0;tt0024548;She Done Him Wrong;1933;Passed;09 Feb 1933;66 min;Comedy, Drama, History;Lowell Sherman;Mae West, Harvey F. Thew, John Bright;Mae West, Cary Grant, Owen Moore;In the Gay Nineties, a seductive nightclub singer contends with several suitors, including a jealous escaped convict and a handsome temperance league member.;English;United States;Nominated for 1 Oscar. 2 wins & 1 nomination total;https://m.media-amazon.com/images/M/MV5BMzVlMDkwMzQtNTgzZC00YjYxLWIyMTMtNGEzYzExZDU4MDVkXkEyXkFqcGc@._V1_SX300.jpg;{'Source': 'Internet Movie Database', 'Value': '6.3/10'};54.0;6.3;7,252;movie;Inconnu;Inconnu;Inconnu;;True;;;;
3651; Black and White;Michael Curtiz;24.0;100.0;345.0;94.0;David Niven;843.0;47511360.0;Action|Adventure|Romance|War;Errol Flynn;The Charge of the Light Brigade ;3418.0;1621.0;Spring Byington;3.0;attack|fort|india|lancer|massacre;http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1;52.0;English;USA;Approved;1200000.0;1936.0;490.0;7.1;1.37;204.0;tt0027438;The Charge of the Light Brigade;1936;Approved;20 Oct 1936;115 min;Action, Adventure, Romance;Michael Curtiz;Michael Jacoby, Rowland Leigh, Alfred Lord Tennyson;Errol Flynn, Olivia de Havilland, Patric Knowles;A major countermands orders and attacks to avenge a previous massacre of men, women, and children.;English;United States;Won 1 Oscar. 1 win & 3 nominations total;https://m.media-amazon.com/images/M/MV5BMDliMzBmZjAtZmNiMC00NzQ5LWFmYjktZGEwNmQ3ZjY5ODVlXkEyXkFqcGc@._V1_SX300.jpg;{'Source': 'Internet Movie Database', 'Value': '7.0/10'};54.0;7.0;5,570;movie;Inconnu;Inconnu;Inconnu;;True;;;;
3228;Color;William Cottrell;145.0;83.0;0.0;31.0;Billy Gilbert;82.0;184925485.0;Animation|Family|Fantasy|Musical;Adriana Caselotti;Snow White and the Seven Dwarfs ;133348.0;229.0;Lucille La Verne;1.0;dwarf|love|princess|queen|snow white;http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1;204.0;English;USA;Approved;2000000.0;1937.0;47.0;7.7;1.37;0.0;tt0029583;Snow White and the Seven Dwarfs;1937;Approved;04 Feb 1938;83 min;Animation, Adventure, Family;William Cottrell, David Hand, Wilfred Jackson;Jacob Grimm, Wilhelm Grimm, Ted Sears;Adriana Caselotti, Harry Stockwell, Lucille La Verne;Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.;English;United States;Nominated for 1 Oscar. 13 wins & 6 nominations total;https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg;{'Source': 'Internet Movie Database', 'Value': '7.6/10'};96.0;7.6;234,472;movie;27 Mar 2007;$184,925,486;Inconnu;;True;;;;
3585; Black and White;Walter Lang;7.0;83.0;9.0;51.0;Nigel Bruce;94.0;47511360.0;Drama|Family|Fantasy;Spring Byington;The Blue Bird ;1047.0;293.0;Gale Sondergaard;1.0;1800s|bird|blue bird of happiness|foreign language adaptation|past;http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1;25.0;English;USA;Approved;37867215.0;1940.0;62.0;6.5;1.37;548.0;tt0032264;The Blue Bird;1940;G;15 Jan 1940;88 min;Adventure, Family, Fantasy;Walter Lang;Maurice Maeterlinck, Ernest Pascal, Walter Bullock;Shirley Temple, Spring Byington, Nigel Bruce;Mytyl and her brother Tyltyl, a woodchopper's children, are led by the Fairy Berylune on a magical trip through the past, present, and future to locate the Blue Bird of Happiness.;English;United States;Nominated for 2 Oscars. 2 nominations total;https://m.media-amazon.com/images/M/MV5BOGRkMGFlYmQtMzI2MC00YzM4LTgyNGEtMjFkNjE0MWQ5ZWY0XkEyXkFqcGc@._V1_SX300.jpg;{'Source': 'Internet Movie Database', 'Value': '6.2/10'};54.0;6.2;2,047;movie;Inconnu;Inconnu;Inconnu;;True;;;;
2728;Color;Norman Ferguson;105.0;88.0;3.0;40.0;Dickie Jones;1000.0;84300000.0;Animation|Family|Fantasy|Musical;Mel Blanc;Pinocchio ;90360.0;1178.0;Cliff Edwards;0.0;boy|conscience|fairy|jiminy cricket|pinocchio;http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1;147.0;English;USA;Approved;2600000.0;1940.0;48.0;7.5;1.37;0.0;tt0032910;Pinocchio;1940;Approved;23 Feb 1940;88 min;Animation, Adventure, Comedy;Norman Ferguson, T. Hee, Wilfred Jackson;Carlo Collodi, Ted Sears, Otto Englander;Dickie Jones, Christian Rub, Mel Blanc;A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.;English;United States;Won 2 Oscars. 9 wins total;https://m.media-amazon.com/images/M/MV5BZGU3MTE3NjYtMGU1Zi00NjBmLTg4MzItZjg0OGZmNjZiYjQwXkEyXkFqcGc@._V1_SX300.jpg;{'Source': 'Internet Movie Database', 'Value': '7.5/10'};99.0;7.5;169,073;movie;Inconnu;$84,254,167;Inconnu;;True;;;;
2862; Black and White;Alfred Hitchcock;144.0;130.0;13000.0;333.0;Joan Fontaine;1000.0;47511360.0;Drama|Film-Noir|Mystery|Thriller;Laurence Olivier;Rebecca ;87424.0;2888.0;George Sanders;2.0;death|estate|housekeeper|love|monte carlo;http://www.imdb.com/title/tt0032976/?ref_=fn_tt_tt_1;276.0;English;USA;Not Rated;1288000.0;1940.0;991.0;8.2;1.37;0.0;tt0032976;Rebecca;1940;Approved;12 Apr 1940;130 min;Drama, Mystery, Romance;Alfred Hitchcock;Daphne Du Maurier, Robert E. Sherwood, Joan Harrison;Laurence Olivier, Joan Fontaine, George Sanders;A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.;English, French;United States;Won 2 Oscars. 10 wins & 10 nominations total;https://m.media-amazon.com/images/M/MV5BYTI0MjUyODAtZTBkNC00MmIwLWFlNmYtMWE3ZmJlOWJjM2QyXkEyXkFqcGc@._V1_SX300.jpg;{'Source': 'Internet Movie Database', 'Value': '8.1/10'};86.0;8.1;160,202;movie;Inconnu;Inconnu;Inconnu;;True;;;;
